mcc,description,category
742,Veterinary Services,Agricultural services
763,Agricultural Co-operatives,Agricultural services
780,"Horticultural Services, Landscaping Services",Agricultural services
1520,General Contractors-Residential and Commercial,Contracted services
1711,"Air Conditioning Contractors - Sales and Installation, Heating Contractors - Sales, Service, Installation",Contracted services
1731,Electrical Contractors,Contracted services
1740,"Insulation - Contractors, Masonry, Stonework Contractors, Plastering Contractors, Stonework and Masonry Contractors, Tile Settings Contractors",Contracted services
1750,Carpentry Contractors,Contracted services
1761,"Roofing - Contractors, Sheet Metal Work - Contractors, Siding - Contractors",Contracted services
1771,Contractors - Concrete Work,Contracted services
1799,"Contractors - Special Trade, Not Elsewhere Classified",Contracted services
2741,Miscellaneous Publishing and Printing,Contracted services
2791,"Typesetting, Plate Making, & Related Services",Contracted services
2842,"Specialty Cleaning, Polishing, and Sanitation Preparations",Contracted services
3000,UNITED AIRLINES,Travel
3001,AMERICAN AIRLINES,Travel
3002,PAN AMERICAN,Travel
3003,Airlines,Travel
3004,TRANS WORLD AIRLINES,Travel
3005,BRITISH AIRWAYS,Travel
3006,JAPAN AIRLINES,Travel
3007,AIR FRANCE,Travel
3008,LUFTHANSA,Travel
3009,AIR CANADA,Travel
3010,KLM (ROYAL DUTCH AIRLINES),Travel
3011,AEORFLOT,Travel
3012,QUANTAS,Travel
3013,ALITALIA,Travel
3014,SAUDIA ARABIAN AIRLINES,Travel
3015,SWISSAIR,Travel
3016,SAS,Travel
3017,SOUTH AFRICAN AIRWAYS,Travel
3018,VARIG (BRAZIL),Travel
3019,Airlines,Travel
3020,AIR-INDIA,Travel
3021,AIR ALGERIE,Travel
3022,PHILIPPINE AIRLINES,Travel
3023,MEXICANA,Travel
3024,PAKISTAN INTERNATIONAL,Travel
3025,AIR NEW ZEALAND,Travel
3026,Airlines,Travel
3027,UTA/INTERAIR,Travel
3028,AIR MALTA,Travel
3029,SABENA,Travel
3030,AEROLINEAS ARGENTINAS,Travel
3031,OLYMPIC AIRWAYS,Travel
3032,EL AL,Travel
3033,ANSETT AIRLINES,Travel
3034,AUSTRAINLIAN AIRLINES,Travel
3035,TAP (PORTUGAL),Travel
3036,VASP (BRAZIL),Travel
3037,EGYPTAIR,Travel
3038,KUWAIT AIRLINES,Travel
3039,AVIANCA,Travel
3040,GULF AIR (BAHRAIN),Travel
3041,BALKAN-BULGARIAN AIRLINES,Travel
3042,FINNAIR,Travel
3043,AER LINGUS,Travel
3044,AIR LANKA,Travel
3045,NIGERIA AIRWAYS,Travel
3046,CRUZEIRO DO SUL (BRAZIJ),Travel
3047,THY (TURKEY),Travel
3048,ROYAL AIR MAROC,Travel
3049,TUNIS AIR,Travel
3050,ICELANDAIR,Travel
3051,AUSTRIAN AIRLINES,Travel
3052,LANCHILE,Travel
3053,AVIACO (SPAIN),Travel
3054,LADECO (CHILE),Travel
3055,LAB (BOLIVIA),Travel
3056,QUEBECAIRE,Travel
3057,EASTWEST AIRLINES (AUSTRALIA),Travel
3058,DELTA,Travel
3059,Airlines,Travel
3060,NORTHWEST,Travel
3061,CONTINENTAL,Travel
3062,WESTERN,Travel
3063,US AIR,Travel
3064,Airlines,Travel
3065,AIRINTER,Travel
3066,SOUTHWEST,Travel
3067,Airlines,Travel
3068,Airlines,Travel
3069,SUN COUNTRY AIRLINES,Travel
3070,Airlines,Travel
3071,AIR BRITISH COLUBIA,Travel
3072,Airlines,Travel
3073,Airlines,Travel
3074,Airlines,Travel
3075,SINGAPORE AIRLINES,Travel
3076,AEROMEXICO,Travel
3077,THAI AIRWAYS,Travel
3078,CHINA AIRLINES,Travel
3079,Airlines,Travel
3080,Airlines,Travel
3081,NORDAIR,Travel
3082,KOREAN AIRLINES,Travel
3083,AIR AFRIGUE,Travel
3084,EVA AIRLINES,Travel
3085,"MIDWEST EXPRESS AIRLINES, INC.",Travel
3086,Airlines,Travel
3087,METRO AIRLINES,Travel
3088,CROATIA AIRLINES,Travel
3089,TRANSAERO,Travel
3090,Airlines,Travel
3091,Airlines,Travel
3092,Airlines,Travel
3093,Airlines,Travel
3094,ZAMBIA AIRWAYS,Travel
3095,Airlines,Travel
3096,AIR ZIMBABWE,Travel
3097,Airlines,Travel
3098,Airlines,Travel
3099,CATHAY PACIFIC,Travel
3100,MALAYSIAN AIRLINE SYSTEM,Travel
3101,Airlines,Travel
3102,IBERIA,Travel
3103,GARUDA (INDONESIA),Travel
3104,Airlines,Travel
3105,Airlines,Travel
3106,BRAATHENS S.A.F.E. (NORWAY),Travel
3107,Airlines,Travel
3108,Airlines,Travel
3109,Airlines,Travel
3110,WINGS AIRWAYS,Travel
3111,BRITISH MIDLAND,Travel
3112,WINDWARD ISLAND,Travel
3113,Airlines,Travel
3114,Airlines,Travel
3115,Airlines,Travel
3116,Airlines,Travel
3117,VIASA,Travel
3118,VALLEY AIRLINES,Travel
3119,Airlines,Travel
3120,Airlines,Travel
3121,Airlines,Travel
3122,Airlines,Travel
3123,Airlines,Travel
3124,Airlines,Travel
3125,TAN,Travel
3126,TALAIR,Travel
3127,TACA INTERNATIONAL,Travel
3128,Airlines,Travel
3129,SURINAM AIRWAYS,Travel
3130,SUN WORLD INTERNATIONAL,Travel
3131,Airlines,Travel
3132,Airlines,Travel
3133,SUNBELT AIRLINES,Travel
3134,Airlines,Travel
3135,SUDAN AIRWAYS,Travel
3136,Airlines,Travel
3137,SINGLETON,Travel
3138,SIMMONS AIRLINES,Travel
3139,Airlines,Travel
3140,Airlines,Travel
3141,Airlines,Travel
3142,Airlines,Travel
3143,SCENIC AIRLINES,Travel
3144,VIRGIN ATLANTIC,Travel
3145,SAN JUAN AIRLINES,Travel
3146,LUXAIR,Travel
3147,Airlines,Travel
3148,Airlines,Travel
3149,Airlines,Travel
3150,Airlines,Travel
3151,AIR ZAIRE,Travel
3152,Airlines,Travel
3153,Airlines,Travel
3154,PRINCEVILLE,Travel
3155,Airlines,Travel
3156,Airlines,Travel
3157,Airlines,Travel
3158,Airlines,Travel
3159,PBA,Travel
3160,Airlines,Travel
3161,ALL NIPPON AIRWAYS,Travel
3162,Airlines,Travel
3163,Airlines,Travel
3164,NORONTAIR,Travel
3165,NEW YORK HELICOPTER,Travel
3166,Airlines,Travel
3167,Airlines,Travel
3168,Airlines,Travel
3169,Airlines,Travel
3170,NOUNT COOK,Travel
3171,CANADIAN AIRLINES INTERNATIONAL,Travel
3172,NATIONAIR,Travel
3173,Airlines,Travel
3174,Airlines,Travel
3175,Airlines,Travel
3176,METROFLIGHT AIRLINES,Travel
3177,Airlines,Travel
3178,MESA AIR,Travel
3179,Airlines,Travel
3180,Airlines,Travel
3181,MALEV,Travel
3182,LOT (POLAND),Travel
3183,Airlines,Travel
3184,LIAT,Travel
3185,LAV (VENEZUELA),Travel
